sector,name,capitalization,earnings,taxes,Tax/earnings
Fleet Services,Miscellaneous,4036,61000,-26920.71,-0.441323115
Municipal Court,Other Requirements,32288,350766,-25641.51,-0.073101469
Human Resources,Court and Legal Fees,8072,31500,-8.2,-0.000260317
Animal Services,Other Requirements,12108,19718,0,0
Austin Convention Center,Other Requirements,30270,99083,0,0
Austin Public Health,Community Relations and Contract Management,2018,100735,0,0
Austin Public Library,Other Requirements,10090,81622,0,0
Communications & Public Information,Other Requirements,10090,7711,0,0
Communications & Technology Management,Miscellaneous,10090,355259.33,0,0
Development Services,Other Requirements,12108,139057,0,0
Emergency Medical Services,Other Requirements,10090,501439,0,0
Fire,Other Requirements,10090,2734085,0,0
Human Resources,Claims Reserve - Self Insured Programs,18162,13686996,0,0
Human Resources,Other Requirements,10090,33252,0,0
Human Resources,Stop Loss Reserve - Self Insured Programs,12108,3600000,0,0
Intergovernmental Relations,Other Requirements,8072,2077,0,0
Law,Other Requirements,10090,31059,0,0
Management Services,Other Requirements,10090,27563,0,0
Mayor & Council,Other Requirements,6054,13564,0,0
Neighborhood Housing & Community Development,Other Requirements,10090,6642,0,0
Neighborhood Housing & Community Development,Renter Assistance Counseling,4036,46665,0,0
Office of Real Estate Services,Other Requirements,10090,10075,0,0
Office of the City Auditor,Other Requirements,10090,8141,0,0
Office of the City Clerk,Other Requirements,10090,6627,0,0
Parks & Recreation,Other Requirements,20180,158665,0,0
Parks & Recreation,PARD Miscellaneous Donation Trust,2018,1712,0,0
Planning & Zoning,Other Requirements,10090,14159,0,0
Police,Other Requirements,10090,5476829,0,0
Small and Minority Business Resources,Other Requirements,10090,7851,0,0
Telecommunications & Regulatory Affairs,Other Requirements,10090,3940,0,0
Austin Public Health,Other Requirements,18162,258714,2902.72,0.011219803
Office of the City Clerk,Elections,2018,64025,1432,0.022366263
Building Services,Other Requirements,14126,40867,1110,0.027161279
Parks & Recreation,Miscellaneous,232070,1820328.68,178043.16,0.097808249
Neighborhood Housing & Community Development,Housing Developer Assistance,228034,5406410,788970.24,0.145932373
Austin Public Health,"Women, Infant & Children",36324,209167,32888.15,0.157233933
Neighborhood Housing & Community Development,Homeless / Special Needs,18162,200937,34939.55,0.173883108
Police,Miscellaneous,56504,5573346,1160842.66,0.208284693
Austin Convention Center,Miscellaneous,12108,1106033,249671.5,0.225736031
Economic Development,Miscellaneous,54486,13006342,3088558.17,0.237465551
Economic Development,Other Requirements,20180,5477055,1309108.69,0.239016897
Communications & Public Information,Miscellaneous,8072,122300,29246.69,0.239138921
Aviation,Transfers,30270,129205102,32184984.3,0.249099949
Neighborhood Housing & Community Development,Financial Empowerment,48432,203249,55334.53,0.27224995
Austin Transportation,Miscellaneous,34306,480000,134320.16,0.279833667
Austin Public Health,Community Planning,8072,1193281,342452.49,0.286983946
Austin Public Health,Health Equity Contracts,2018,1229150,369338.37,0.300482748
Neighborhood Housing & Community Development,Homeowner Assistance,232070,295000,88982.86,0.301636814
General Obligation Debt Service,Other Requirements,14126,184256615,59687743.82,0.323938133
Human Resources,Medical Expenses and Claims Reserve,22198,11610717,3843153.17,0.331000503
Financial Services,Other Requirements,22198,9315356,3085499.97,0.331227274
Fleet Services,Other Requirements,14126,80336,27035.62,0.336531816
Austin Energy,Other Requirements,28252,8331720,2993429.31,0.359281074
Municipal Court,Security Services,6054,378617,137865.42,0.364128975
Austin Energy,311 City-Wide Call Center,113008,3907621,1446746.1,0.370237057
Austin Transportation,Transportation Engineering,169512,6390200,2382979.78,0.372911612
Development Services,Miscellaneous,48432,1692325,648389.98,0.383135615
Neighborhood Housing & Community Development,Neighborhood & Community Revitalization,52468,60110,23581.49,0.392305606
Austin Public Health,Miscellaneous,40360,1862193,753501.75,0.404631394
Economic Development,Transfers,30270,4073965,1697145,0.416583108
Economic Development,Small Business Program,298664,5036241,2150700.77,0.427044848
Watershed Protection,Miscellaneous,10090,13365665,5773165,0.431939975
Watershed Protection,Value Engineering,64576,658921,285829.52,0.433784202
Fleet Services,Transfers,14126,4720763,2047908.25,0.43380874
Communications & Technology Management,Other Requirements,30270,225000,98350.88,0.437115022
Telecommunications & Regulatory Affairs,Miscellaneous,40360,2037000,900707.08,0.442173333
Public Works,Bridge Maintenance,94846,1422000,629335.54,0.442570703
Mayor & Council,Mayor and Council Admin Costs,34306,243848,108893.54,0.446563187
Telecommunications & Regulatory Affairs,Digital Inclusion,60540,708106,324996.49,0.458965875
Human Resources,Settlements and Impairments,2018,1435629,666291,0.464110853
Municipal Court,Civil Red Light Administration,62558,1035585,480922.42,0.464396858
Financial Services,Office of the Chief Financial Officer,161440,1871189,872656.01,0.46636444
Financial Services,Miscellaneous,66594,6408849,3056890.43,0.476979631
Animal Services,Departmental Support Services,108972,1172402,560353.71,0.47795356
Austin Water,Distribution System Engineering,290592,3802925,1820625.16,0.478743378
Aviation,Mechanic Shop,135206,1547523.8,772936.98,0.499466942
Neighborhood Housing & Community Development,Miscellaneous,4036,294000,146952.69,0.499839082
Financial Services,Payroll,80720,2271750,1155450.4,0.508616881
Austin Transportation,Signs and Markings,179602,5958252,3036974,0.509708888
Planning & Zoning,Code Management,139242,982583,501111.15,0.50999371
Austin Water,Other Utility Program Requirements,171530,11184618,5724175.96,0.511790028
Human Resources,Employee HMO,14126,42389460,21756564.38,0.513254106
