cx	cy	capitalization	earnings	taxes	x	y	sector	name	alias	symbol
321	-54.1	730.48	33992	9379	315	-0.7	Industrials	3M Company		MMM
201.4	13.6	574.08	34694	6317	209.4	0	Health care	Abbott Laboratories		ABT
431.4	-14.3	38.67	2551	960	430	-10.8	Retailers	Abercrombie & Fitch Co.		ANF
301.3	-70.9	497.63	18735	5025	305.5	8.1	Information technology	Accenture plc		ACN
189.9	66.7	306.19	16453	2834	197.7	-1.4	Insurance	ACE Limited		ACE
692.1	-14.2	125.65	1897	1218	690	-3.9	Pharma	"Actavis, Inc."		ACT
197.1	-57.9	219.8	5824	1035	210.1	-20.5	Information technology	Adobe Systems Inc.		ADBE
740.3	-32	18.5	-4934	81	745.5	-0.4	Information technology	"Advanced Micro Devices, Inc."		AMD
351.9	-28.9	177.97	15139	4637	351.8	0.3	Health care	Aetna Inc.		AET
302.8	69	231.83	17461	4441	292.7	-5.4	Insurance	AFLAC Inc.		AFL
142.9	11.4	144.63	4259	565	153.5	-6.6	Health care	Agilent Technologies Inc.		A
118.5	-22.5	50.19	2272	228	116.1	0	Utilities	AGL Resources Inc.		GAS
176.3	50.9	177.83	7775	1217	180	0	Materials	Air Products & Chemicals Inc.		APD
184.2	52.8	73.55	2270	374	188.9	-1.4	Materials	"Airgas, Inc."		ARG
146.3	-7.7	61.55	1531	203	147.2	11.4	Information technology	"Akamai Technologies, Inc."		AKAM
535.5	7.4	89.72	6031	2812	536.3	0	Materials	Alcoa Inc.		AA
55.5	-4.4	191.66	767	41	61.2	0	Pharma	"Alexion Pharmaceuticals, Inc."		ALXN
201.5	30.2	32.14	2796	489	201.4	0	Materials	Allegheny Technologies Inc.		ATI
448.5	-37.1	335.5	5279	2049	446.4	0	Pharma	Allergan Inc.		AGN
41.3	2.6	106.27	3371	132	44.4	0	Information technology	Altera Corp.		ALTR
502.4	10.9	706.31	32126	13771	492.2	0.3	Consumer products	Altria Group Inc.		MO
69.8	12.2	1177.06	5522	345	72	0	Retailers	Amazon.com Inc.		AMZN
107.7	-22.1	85.12	2571	246	109.4	0	Utilities	Ameren Corporation		AEE
23.8	-10.8	239.15	11736	243	24.2	0.7	Utilities	"American Electric Power Co., Inc."		AEP
280.9	75.1	722.9	31487	7600	279.2	11.8	Financials	American Express Company		AXP
747.2	28.8	591.87	-82917	8171	749.7	0.4	Insurance	"American International Group, Inc."	A.I.G.	AIG
87.3	16.1	312.53	2711	206	86.8	2.9	Financials	American Tower Corporation		AMT
199.1	35.6	146.62	5659	986	200.3	0	Financials	"Ameriprise Financial, Inc."		AMP
289.8	-23.5	121.91	5633	1484	301	4.5	Health care	AmerisourceBergen Corporation		ABC
185.6	39.8	786.6	28488	4506	182.2	8.5	Pharma	Amgen Inc.		AMGN
247.2	-53.6	116.64	3710	810	258	10	Information technology	Amphenol Corporation		APH
318.1	78.1	439.85	13368	3765	323.1	-5.7	Energy	Anadarko Petroleum Corporation		APC
224.8	-72.6	134.63	4402	870	234.4	-21.4	Information technology	"Analog Devices, Inc."		ADI
268.8	82.7	187.35	6675	1580	272.4	0	Insurance	Aon plc		AON
406.4	14.3	292.47	24107	8625	407.9	-13.6	Energy	Apache Corp.		APA
750.2	17.9	46.25	-797	26	750.3	22.5	Financials	Apartment Investment & Management Co.		AIV
513.4	8	18.75	5139	2281	512.2	3.3	Consumer products	Apollo Group Inc.		APOL
151.8	-48.7	4002.36	134527	18844	159.1	-10.9	Information technology	Apple Inc.		AAPL
342.2	-68.4	160.57	7443	2172	336.2	5.4	Information technology	"Applied Materials, Inc."		AMAT
316	16.3	219.51	15613	4260	310.6	7	Consumer products	Archer Daniels Midland Company		ADM
491.3	29.2	36.14	4354	1844	487.1	0	Insurance	Assurant Inc.		AIZ
302.6	-37.4	2065.94	67738	17819	302.5	0	Telecom	"AT&T, Inc."		T
147.7	-24.9	85.83	1809	263	157.9	13.4	Information technology	"Autodesk, Inc."		ADSK
437.5	-43.9	311.67	11245	4175	427	-2.8	Information technology	"Automatic Data Processing, Inc."		ADP
704.6	3.9	51.19	760	646	689.7	6.1	Retailers	AutoNation Inc.		AN
384.6	56.6	142.65	6915	2182	368.5	12.9	Retailers	"AutoZone, Inc."		AZO
679	-17.4	42.51	447	493	690.3	6	Industrials	Avery Dennison Corporation		AVY
546.2	2.8	89.06	4839	2304	547.6	0	Consumer products	Avon Products Inc.		AVP
507	28.9	197.76	10790	4712	502.2	0	Energy	Baker Hughes Incorporated		BHI
285	29.2	70.38	3374	827	280	-9.7	Materials	Ball Corporation		BLL
460.1	-4.1	1321.41	31231	12417	455.8	-2.7	Financials	Bank of America Corporation		BAC
134.7	20.8	380.97	14912	1922	148.6	3.8	Health care	Baxter International Inc.		BAX
490	3.7	212.63	11086	4631	482.8	1.9	Financials	BB&T Corporation		BBT
407.8	-17.1	98.08	2511	879	401.4	4.7	Consumer products	"Beam, Inc."		BEAM
276.2	-6.4	185.16	8911	2166	279.1	0.6	Health care	"Becton, Dickinson and Company"		BDX
444	-9.4	144.4	6329	2405	433.8	-17.1	Retailers	Bed Bath & Beyond Inc.		BBBY
